agence,alternance,categorie,certificateur_nom_rncp,certificateur_nom_rs,code_rncp,code_rs,date_debut,date_fin,date_limite,distanciel,echelle_duree,formacode_code_rncp,formacode_code_rs,formacode_nom_rncp,formacode_nom_rs,intitule_formation,niveau_sortie_rncp,nsf_code_rncp,nsf_code_rs,nsf_nom_rncp,nsf_nom_rs,region,rncp_url,rs_url,siret_rncp,siret_rs,statut_registre_rncp,statut_registre_rs,titre_rncp,titre_rs,voie_acces
,False,Cloud-devops,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,36061,5487,,,,False,,"31011,30854,30812,31034,31021",31024,"Cloud computing,Langages informatiques,Langage Python,Administration système,Linux",Méthode agile,École Cloud Microsoft By Simplon - Parcours Administrateur-rice Cloud,Niveau 6,326,"310p,315p,300","Informatique, traitement de l'information, réseaux de transmission","Spécialités plurivalentes des échanges et de la gestion (organisation , gestion),Spécialités plurivalentes des échanges et de la gestion (organisation, gestion),Spécialites plurivalentes des services",,https://www.francecompetences.fr/recherche/rncp/36061/,https://www.francecompetences.fr/recherche/rs/5487/,11000007200014,79279132900016,Active,Active,TP - Administrateur système DevOps,Gérer un projet en mobilisant les méthodes agiles,"En contrat de professionnalisation / en contrat d’apprentissage,Après un parcours de formation continue,Par expérience."
,False,Cloud-devops,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,31115,5234,,,,False,,"24231,31008",31054,"Réseau informatique,Système information",Informatique et systèmes d'information,Programme AWS re/Start - formation Cloud,Niveau 5,326,326,"Informatique, traitement de l'information, réseaux de transmission","Informatique, traitement de l'information, réseaux de transmission",,https://www.francecompetences.fr/recherche/rncp/31115/,https://www.francecompetences.fr/recherche/rs/5234/,11000007200014,79279132900016,Inactive,Active,TP - Technicien supérieur systèmes et réseaux,Exploiter les méthodes et outils DevOps dans l’administration des infrastructures,
,False,Cloud-devops,,SIMPLON.CO,,5043,,,,False,,,31024,,Méthode agile,Développer avec la méthode DevOps - Spécialisation,,,326,,"Informatique, traitement de l'information, réseaux de transmission",,,https://www.francecompetences.fr/recherche/rs/5043/,,79279132900016,,Active,,Exploiter les outils de développement de la chaîne DevOps,Après un parcours de formation continue
,False,Cloud-devops,,SIMPLON.CO,,5234,,,,False,,,31054,,Informatique et systèmes d'information,Administrer avec la méthode DevOps - Spécialisation,,,326,,"Informatique, traitement de l'information, réseaux de transmission",,,https://www.francecompetences.fr/recherche/rs/5234/,,79279132900016,,Active,,Exploiter les méthodes et outils DevOps dans l’administration des infrastructures,"Le cas échant, prérequis à l’entrée en formation :,Justifier d’une expérience professionnelle d’un an minimum en tant que en tant que technicien systèmes et réseaux ou assimilé ou développeur.,Le cas échant, prérequis à la validation de la certification :,Après un parcours de formation continue"
"Simplon Lyon,Simplon Montreuil,Créteil",False,Développement d'applications,,SIMPLON.CO,,5599,23/09/2024,,08/09/2024,False,inférieur à 3 mois,,"46250,70754",,"Gestion contenu site internet,logiciel gestion de contenu",SAS de pré-qualification à la formation Développeur-se Web et Web Mobile,,,"326t,326",,"Programmation, mise en place de logiciels,Informatique, traitement de l'information, réseaux de transmission",Île-de-France,,https://www.francecompetences.fr/recherche/rs/5599/,,79279132900016,,Active,,Réaliser des applications web à l’aide d’un système de gestion de contenus (CMS),Après un parcours de formation continue
"Simplon Lille -Wazemmes,Simplon Lyon",False,Développement d'applications,,SIMPLON.CO,,5599,21/10/2024,,04/10/2024,False,inférieur à 3 mois,,"46250,70754",,"Gestion contenu site internet,logiciel gestion de contenu",Prépa Web Refugeeks2,,,"326t,326",,"Programmation, mise en place de logiciels,Informatique, traitement de l'information, réseaux de transmission",Auvergne-Rhône-Alpes,,https://www.francecompetences.fr/recherche/rs/5599/,,79279132900016,,Active,,Réaliser des applications web à l’aide d’un système de gestion de contenus (CMS),Après un parcours de formation continue
,False,Développement d'applications,,SIMPLON.CO,,5599,30/09/2024,21/11/2024,06/09/2024,False,inférieur à 3 mois,,"46250,70754",,"Gestion contenu site internet,logiciel gestion de contenu",Prépa Web Refugeeks2,,,"326t,326",,"Programmation, mise en place de logiciels,Informatique, traitement de l'information, réseaux de transmission",Hauts-de-France,,https://www.francecompetences.fr/recherche/rs/5599/,,79279132900016,,Active,,Réaliser des applications web à l’aide d’un système de gestion de contenus (CMS),Après un parcours de formation continue
"Simplon Lyon,Simplon Montreuil,Créteil",False,Développement d'applications,,SIMPLON.CO,,5599,30/09/2024,8/11/2024,08/09/2024,False,inférieur à 3 mois,,"46250,70754",,"Gestion contenu site internet,logiciel gestion de contenu",SAS de pré-qualification à la formation Développeur-se Web et Web Mobile,,,"326t,326",,"Programmation, mise en place de logiciels,Informatique, traitement de l'information, réseaux de transmission",Île-de-France,,https://www.francecompetences.fr/recherche/rs/5599/,,79279132900016,,Active,,Réaliser des applications web à l’aide d’un système de gestion de contenus (CMS),Après un parcours de formation continue
,False,Développement d'applications,,SIMPLON.CO,,5599,09/09/2024,18/10/2024,22/07/2024,False,inférieur à 3 mois,,"46250,70754",,"Gestion contenu site internet,logiciel gestion de contenu",SAS de pré-qualification à la formation Développeur-se Web et Web Mobile,,,"326t,326",,"Programmation, mise en place de logiciels,Informatique, traitement de l'information, réseaux de transmission",Auvergne-Rhône-Alpes,,https://www.francecompetences.fr/recherche/rs/5599/,,79279132900016,,Active,,Réaliser des applications web à l’aide d’un système de gestion de contenus (CMS),Après un parcours de formation continue
"Simplon Boulogne-sur-Mer,Simplon Toulouse,100% en ligne,Simplon Aulnay-sous-Bois",False,Développement d'applications,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,37674,5487,30/09/2024,,15/09/2024,False,au-delà de 7 mois,"31090,46288,31006,70710",31024,"Programmation web,Qualité web,Sécurité informatique,logiciel gestion de contenu e-commerce",Méthode agile,Développeur-euse web et web mobile,Niveau 5,326t,"310p,315p,300","Programmation, mise en place de logiciels","Spécialités plurivalentes des échanges et de la gestion (organisation , gestion),Spécialités plurivalentes des échanges et de la gestion (organisation, gestion),Spécialites plurivalentes des services",Île-de-France,https://www.francecompetences.fr/recherche/rncp/37674/,https://www.francecompetences.fr/recherche/rs/5487/,11000007200014,79279132900016,Active,Active,TP - Développeur web et web mobile,Gérer un projet en mobilisant les méthodes agiles,
