nom_of,nom_region,type_referentiel,libelle_niveau_sortie_formation,code_inventaire,code_rncp,intitule_certification,code_formacode_1,code_formacode_2,code_formacode_3,code_formacode_4,code_formacode_5,libelle_code_formacode_principal,libelle_nsf_1,libelle_nsf_2,libelle_nsf_3,code_nsf_1,code_nsf_2,code_nsf_3
AMS TRAINING,Grand Est,RS,,6208,-1,Tosa WordPress,46270,70707,,,,Création site internet,"Informatique, traitement de l'information, réseaux de transmission",,,326,,
AMSI FORMATIONS,Auvergne-Rhône-Alpes,RS,,6289,-1,Certification bureautique Excel,15052,70322,,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
AMSI FORMATIONS,,RS,,6289,-1,Certification bureautique Excel,15052,70322,,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
AMSI FORMATIONS,Auvergne-Rhône-Alpes,RS,,6289,-1,Certification bureautique Excel,15052,70322,,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
AMSI FORMATIONS,,RS,,6289,-1,Certification bureautique Excel,15052,70322,,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
AMSI FORMATIONS,,RS,,6289,-1,Certification bureautique Excel,15052,70322,,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
AMSI FORMATIONS,Auvergne-Rhône-Alpes,RS,,6289,-1,Certification bureautique Excel,15052,70322,,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
AMSI FORMATIONS,Auvergne-Rhône-Alpes,RS,,6289,-1,Certification bureautique Excel,15052,70322,,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
AMSI FORMATIONS,,RS,,6289,-1,Certification bureautique Excel,15052,70322,,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
AMSI FORMATIONS,,RS,,6160,-1,Concevoir des diaporamas à l'aide d'un logiciel de PréAO (Présentations Assistées par Ordinateur),15052,15004,70312,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
AMSI FORMATIONS,Auvergne-Rhône-Alpes,RS,,6159,-1,Créer et mettre en page des documents à l'aide d'un  traitement de texte,15052,70332,,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
AMSI FORMATIONS,,RS,,6159,-1,Créer et mettre en page des documents à l'aide d'un  traitement de texte,15052,70332,,,,Bureautique,"Informatique, traitement de l'information, réseaux de transmission","Secrétariat, bureautique",,326,324,
